PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,0,B/0/P,0.7094369245117707,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Maham Ofracculy,0,0,1,0,0,0,1
0002_01,0,F/0/S,-0.33671733481965654,0,-0.17536360342565457,-0.2816690812340509,-0.24896783145919726,0.21150529737228824,-0.2301943200865136,Juanna Vines,1,1,0,0,0,0,1
0003_01,0,A/0/S,2.034565652998245,1,-0.27540886391322367,1.9556157450734089,-0.290817025018365,5.694289132961069,-0.22578201240107706,Altark Susent,0,0,1,0,0,0,1
0003_02,0,A/0/S,0.2909752207791998,0,-0.340589866958155,0.5174060151258325,0.3302250073996842,2.6834707633043045,-0.09870755106050415,Solam Susent,0,0,1,0,0,0,1
0004_01,0,F/1/S,-0.8946662731297511,0,0.11870882891659393,-0.2434088136689387,-0.03804789592099188,0.2257324367445588,-0.26725770464418075,Willy Santantines,1,1,0,0,0,0,1
0005_01,0,F/0/P,1.0581550109555797,0,-0.340589866958155,0.01563201427190259,-0.290817025018365,-0.017907325005575153,-0.26902262771835533,Sandie Hinetthews,1,1,0,0,0,1,0
0006_01,0,F/2/S,-0.19723010024213294,0,-0.27692470119333834,0.67797369539909,-0.2857951217912649,-0.27666342233874663,-0.26902262771835533,Billex Jacostaffey,1,1,0,0,0,0,1
0006_02,1,G/0/S,-0.0577428656646093,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-1.0032426156241308e-16,Candra Jacostaffey,1,1,0,0,0,0,1
0007_01,0,F/3/S,0.4304624553567234,0,-0.340589866958155,0.20505169959426112,-0.26235957339813093,-0.08459704081309358,-0.26902262771835533,Andona Beston,1,1,0,0,0,0,1
0008_01,1,B/1/P,-1.0341535077072748,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Erraiam Flatic,1,0,1,0,1,0,0
0008_02,1,B/1/P,0.36071883806796157,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Altardr Flatic,1,0,1,0,0,0,1
0008_03,0,B/1/P,1.1278986282443415,0,-0.2814722130336824,4.288237631543115,0.6951499752356269,-0.1788518391543863,-0.15959739711952867,Wezena Flatic,1,0,1,0,1,0,0
0009_01,0,F/1/P,0.22123160349043797,0,-0.22993374550978318,-0.2873140387436576,1.5890487496594499,-0.27666342233874663,-0.1693044740274891,Berers Barne,1,0,0,1,0,0,1
0010_01,0,G/1/S,1.337129480110627,0,0.749297137444302,-0.28668682124259015,-0.18200912176452888,-0.27666342233874663,-0.24784355082825987,Reney Baketton,0,1,0,0,0,0,1
0011_01,0,F/2/P,-0.0577428656646093,0,-0.3284631687172376,0.32359580729600207,-0.2707294121099645,-0.2748850299172128,-0.26284539695874415,Elle Bertsontry,1,1,0,0,0,0,1
0012_01,0,,0.15148798620167614,0,-0.2920830739944852,-0.2873140387436576,1.1755787172948726,-0.27666342233874663,-0.26902262771835533,Justie Pooles,0,1,0,0,0,0,1
0014_01,0,F/3/P,-0.12748648295337112,0,1.6087768752693274,-0.21079350361343327,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Flats Eccle,0,0,0,1,1,0,0
0015_01,0,F/4/P,-0.33671733481965654,0,-0.340589866958155,-0.28668682124259015,-0.290817025018365,-0.27666342233874663,0.29310537140626236,Carry Hughriend,0,1,0,0,1,0,0
0016_01,1,F/5/P,1.1278986282443415,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Alus Upead,1,0,0,1,0,0,1
0017_01,0,G/0/P,-2.01056414974994,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Lyde Brighttt,1,1,0,0,0,0,1
0017_02,0,F/6/P,-1.0341535077072748,0,0.2839350924490944,-0.2873140387436576,-0.2891430572759983,-0.27666342233874663,0.33016875596392947,Philda Brighttt,0,1,0,0,1,0,0
0020_01,1,E/0/S,-1.9408205324611782,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Almary Brantuarez,0,1,0,0,0,0,1
0020_02,1,E/0/S,1.4068730973993888,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Glendy Brantuarez,0,1,0,0,1,0,0
0020_03,1,E/0/S,0.012000751624152513,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Mollen Mcfaddennon,0,1,0,0,1,0,0
0020_04,0,E/0/S,-1.313127976862322,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Breney Jacostanley,1,1,0,0,0,0,1
0020_05,1,E/0/S,-1.9408205324611782,0,4.308268671919345e-17,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Mael Brantuarez,0,1,0,0,0,1,0
0020_06,0,E/0/S,-1.5223588287286074,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Terta Mcfaddennon,0,1,0,0,0,0,1
0022_01,0,D/0/P,-0.545948186685942,0,1.1449306675542343,-0.2860596037415227,-0.17531325079506205,-0.27666342233874663,-0.26902262771835533,,0,0,0,1,0,0,1
0024_01,1,C/2/S,2.3135401221532925,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Penton Fullided,1,0,1,0,0,0,1
0025_01,0,F/6/S,-0.9644098904185129,0,-0.340589866958155,-0.1461901010034898,-0.290817025018365,0.6107543960066318,-0.26902262771835533,Karard Brookenson,0,1,0,0,0,0,1
0026_01,0,C/0/P,0.36071883806796157,0,-0.30724144679563203,3.5217778452387374,-0.290817025018365,1.0020007287440733,0.020424756446282964,Anyoni Unconary,0,0,1,0,1,0,0
0028_01,0,F/8/P,0.988411393666818,0,1.3647270731708634,-0.2873140387436576,-0.06315741205649252,-0.23398200422193485,-0.26902262771835533,Ceros Mare,0,0,0,1,0,0,1
0030_01,0,G/4/S,0.22123160349043797,0,-0.340589866958155,0.24582083716364292,-0.15522563788666155,0.11191532176639404,0.13073244858219696,Ginia Morsentley,0,1,0,0,0,0,1
0031_01,0,F/9/P,1.2673858628218653,0,-0.01620068901361286,-0.2873140387436576,2.071151459461062,-0.27666342233874663,0.8155226013619511,Coobix Datie,1,0,0,1,0,0,1
0031_02,0,F/9/P,-1.8710769151724165,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Cinets Datie,1,0,0,1,0,0,1
0031_03,0,F/9/P,-0.6156918039747038,0,4.308268671919345e-17,-0.2873140387436576,2.638626524123376,0.6036408263204965,-0.26902262771835533,Dontch Datie,1,0,0,1,0,0,1
0034_01,1,D/1/S,-0.0577428656646093,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Ziba Oingwhedly,1,0,1,0,1,0,0
0035_01,0,D/1/P,-0.40646095210841837,0,0.8478265606517564,0.31732363228532795,-0.290817025018365,0.568962174100587,-0.26902262771835533,Luse Butte,0,0,0,1,1,0,0
0036_01,0,F/8/S,-0.9644098904185129,0,-0.340589866958155,0.021276971781509304,-0.21046657338476296,-0.2588794981234084,0.08484444865365674,Marina Leodger,0,1,0,0,1,0,0
0038_01,0,F/10/S,-0.6156918039747038,0,0.49918398622537935,-0.16500662603551217,-0.290817025018365,2.0405819029198264,-0.26902262771835533,Loise Wheelez,0,1,0,0,1,0,0
0039_01,1,G/1/P,0.08174436891291433,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Jorgie Batthewitt,0,1,0,0,1,0,0
0041_01,1,G/2/P,-0.8249226558409892,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Margia Moodsey,1,1,0,0,0,0,1
0043_01,0,B/3/P,1.1278986282443415,0,-0.340589866958155,-0.18445036856860195,-0.21548847661186307,1.95610826289697,0.4854819864912964,Ankalik Cylistrand,0,0,1,0,0,0,1
0044_01,1,G/3/P,1.8253348011319597,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Jodye Coopelandez,0,1,0,0,0,0,1
0044_02,1,G/3/P,-1.731589680594893,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Kayne Coopelandez,1,1,0,0,1,0,0
0044_03,1,G/3/P,-0.545948186685942,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Cassa Coopelandez,1,1,0,0,0,1,0
0045_01,0,F/10/P,-0.545948186685942,0,1.1297722947530875,-0.2873140387436576,0.010497168607642696,-0.27666342233874663,-0.21254508934476737,Zelowl Chmad,0,0,0,1,0,0,1
0045_02,1,F/10/P,-0.6854354212634657,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Mass Chmad,1,0,0,1,0,0,1
0050_01,0,E/1/S,0.4304624553567234,0,0.8569215843324446,-0.2873140387436576,-0.290817025018365,-5.0544952658066925e-17,-0.26902262771835533,Sony Lancis,0,1,0,0,1,0,0
0051_01,0,E/2/S,1.8950784184207214,0,-0.340589866958155,-0.2170656786241074,-0.290817025018365,0.9495381523088254,-0.15695001250826673,Vivia Johnshines,0,1,0,0,0,0,1
0052_01,0,G/6/S,-2.477791031508112e-16,0,-0.3345265178376963,-0.2873140387436576,-0.2874690895336316,3.8874424326827035,-0.26902262771835533,Elaney Hubbarton,0,1,0,0,0,0,1
0053_01,0,F/11/S,-0.26697371753089477,0,-0.340589866958155,-0.2873140387436576,2.9533324596883177,-0.27666342233874663,-0.268140166181268,Elson Hickerson,1,1,0,0,0,0,1
0056_01,0,A/1/S,-1.8710769151724165,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Okulas Tractive,1,0,1,0,0,0,1
0056_02,1,A/1/S,0.6396933072230089,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Instab Tractive,1,0,1,0,0,0,1
0056_03,0,A/1/S,-0.12748648295337112,0,0.08232873419384154,0.0921525494021269,5.357150137726913,-0.022353306059409713,-0.26637524310709343,Zinoces Tractive,1,0,1,0,0,0,1
0058_01,1,G/7/S,0.5002060726454852,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Warry Ayalazquez,0,1,0,0,0,1,0
0061_01,0,F/12/S,-0.4762045693971802,0,-0.2723771893529943,0.4001163424262264,-0.043069799148092,0.9477597598872917,-0.268140166181268,Shanya Salez,0,1,0,0,0,0,1
0062_01,0,F/13/S,2.3135401221532925,0,-0.340589866958155,0.08399872188825054,-0.290817025018365,-0.26154708675570915,-0.24696108929117255,Sterry Greeves,0,1,0,0,0,0,1
0064_01,1,F/14/S,-0.9644098904185129,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,,1,0,0,1,0,0,1
0064_02,1,E/3/S,0.2909752207791998,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Colatz Keen,1,1,0,0,0,0,1
0066_01,0,G/6/P,2.3135401221532925,0,-0.33907402967804035,-0.1913497610803435,0.038954620227876754,-0.27666342233874663,0.13690967934180814,Diandy Pecketton,0,1,0,0,0,0,1
0067_01,1,G/10/S,-2.01056414974994,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Ninaha Leeves,1,1,0,0,0,1,0
0067_02,0,G/10/S,-0.7551790385522275,0,-0.33907402967804035,-0.12549192346826518,0.45577258807718746,-0.27666342233874663,-0.26902262771835533,Celine Leeves,1,1,0,0,0,0,1
0067_03,0,F/15/S,-0.545948186685942,0,2.609229480145018,-0.2641069912041633,-0.290817025018365,-0.27666342233874663,-0.24784355082825987,Velyne Leeves,0,1,0,0,1,0,0
0068_01,0,E/4/S,-2.477791031508112e-16,0,0.8614690961727886,-0.2873140387436576,-0.2874690895336316,-0.05169678101471782,-0.26902262771835533,Cinst Binie,0,0,0,1,0,0,1
0069_01,0,F/16/S,0.9186677763780561,0,1.0039578005035688,-0.2873140387436576,-0.2757513153370646,-0.27132824507414516,-0.26902262771835533,,1,1,0,0,0,0,1
0070_01,0,F/13/P,-0.6854354212634657,0,-0.05258078373636525,-0.2873140387436576,-0.2824471863065315,-0.27577422612797975,0.37164444820703313,Meremy Brighttt,0,1,0,0,0,0,1
0071_01,0,F/14/P,-0.8249226558409892,0,-0.31633647047632013,1.0706118510672902,-0.290817025018365,-0.27666342233874663,-0.22313462778981513,Nelly Dillines,0,1,0,0,0,0,1
0072_01,0,F/17/S,-1.0341535077072748,0,-0.340589866958155,-0.28668682124259015,-0.290817025018365,-0.27666342233874663,0.6690339862054573,Thell Brantuarez,0,1,0,0,0,0,1
0073_01,0,D/3/P,0.569949689934247,0,-0.2708613520728796,-0.23525498615506235,0.9445711688482666,-0.27666342233874663,-0.2584330892733076,Gorn Make,0,0,0,1,0,1,0
0074_01,0,C/3/S,0.9186677763780561,0,-0.33907402967804035,4.979431317719404,-0.290817025018365,-0.27666342233874663,0.17750291004782448,Aldibah Mostedry,1,0,1,0,0,0,1
0076_01,0,F/18/S,-0.12748648295337112,0,-0.11776178678129663,-0.2873140387436576,1.4132821367109452,-0.27666342233874663,-0.26902262771835533,Conk Dal,1,0,0,1,0,0,1
0077_01,0,F/15/P,-0.0577428656646093,0,-0.3193681450365495,-0.2873140387436576,1.8769712013465236,-0.27666342233874663,-0.26902262771835533,Pon Blité,1,0,0,1,0,0,1
0078_01,0,C/4/S,0.6396933072230089,0,-0.340589866958155,3.3756361674900304,-0.290817025018365,0.008768561317432217,8.250261051322553,Spuri Pokerheed,0,0,1,0,0,0,1
0081_01,1,G/13/S,-1.1038971249960365,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Dellie Vinozarks,0,1,0,0,0,0,1
0082_01,0,F/16/P,0.9186677763780561,0,10.885701029571187,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Totse Datte,0,0,0,1,0,0,1
0082_02,1,F/16/P,-1.8710769151724165,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Eaturs Datte,1,0,0,1,0,0,1
0082_03,0,F/16/P,-1.4526152114398456,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,,1,0,0,1,0,0,1
0084_01,0,G/14/S,-0.33671733481965654,0,0.7023061817607469,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.25402078158787106,Coren Coopezmaney,1,1,0,0,0,0,1
0085_01,1,C/5/S,0.7791805418005325,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Furudah Ellcefulve,1,0,1,0,0,0,1
0086_01,0,F/17/P,0.988411393666818,0,-0.02074820085395691,-0.2873140387436576,-0.290817025018365,0.29064376013054344,0.18368014080743567,Jodye Kinson,0,1,0,0,0,0,1
0088_01,1,E/5/S,1.1278986282443415,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Stmeal Sacre,1,0,0,1,0,1,0
0090_01,1,G/15/S,0.4304624553567234,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Heremy Santry,1,1,0,0,0,0,1
0091_01,1,G/16/S,-0.19723010024213294,0,4.308268671919345e-17,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Deanne Yorkland,1,1,0,0,0,0,1
0091_02,0,F/20/S,-0.12748648295337112,0,-0.33907402967804035,0.14985655950032883,-0.23892402500499701,-0.10949453471456712,-0.26902262771835533,Tinez Yorkland,0,1,0,0,0,0,1
0092_01,0,G/9/P,-0.6854354212634657,0,-0.340589866958155,-0.2873140387436576,0.8307413623673304,-0.27577422612797975,-0.23901893545738676,Gracy Dunnisey,0,1,0,0,0,0,1
0092_02,1,G/9/P,-2.01056414974994,0,-0.340589866958155,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,Stald Hewson,1,1,0,0,0,0,1
0092_03,1,G/9/P,-1.8013332978836547,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Tiney Hewson,1,1,0,0,0,0,1
0097_01,0,A/2/S,1.755591183843198,0,-0.340589866958155,0.4703647025457766,-0.290817025018365,-0.2739958337064459,0.29310537140626236,Alchium Fictful,0,0,1,0,0,0,1
0098_01,0,G/11/P,-0.19723010024213294,0,-0.340589866958155,0.2495841421700474,-0.2824471863065315,-0.24820914359420546,-0.26902262771835533,Doria Carezquez,0,1,0,0,0,0,1
0098_02,0,G/11/P,-0.19723010024213294,0,-0.340589866958155,1.4757943567568386,1.311170104426576,-0.27666342233874663,-0.1922484739917592,Leence Carezquez,1,1,0,0,0,0,1
0099_01,0,F/19/P,-0.40646095210841837,0,0.1308355271575114,-0.019492165787872502,0.5896900074665242,-0.2437631625403709,-0.26902262771835533,Aliey Leetersoney,0,1,0,0,0,1,0
0099_02,0,G/12/P,-1.8710769151724165,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Thewis Connelson,1,1,0,0,0,0,1
0101_01,1,,0.15148798620167614,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Book Trad,1,0,0,1,0,0,1
0102_01,0,F/23/S,-0.7551790385522275,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,0.46136943259779056,-0.18871862784340995,Ritany Holson,0,1,0,0,0,0,1
0103_01,0,F/24/S,-0.33671733481965654,0,-0.340589866958155,3.565318713000422e-17,-0.290817025018365,-0.27666342233874663,-0.25402078158787106,Arlen Mclainez,1,1,0,0,0,0,1
0103_02,1,G/18/S,-1.3828715941510838,0,-0.340589866958155,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,Shaele Mclainez,1,1,0,0,1,0,0
